,presentation_code,name,type,per_item_delta,delta,cost
1,0101010F0AAAUAU,Magnesium carbonate heavy 500mg capsules,generic,-35.3055340648648,-3578.76469,4734.29152
6,0101010I0AAABAB,Magnesium oxide 100mg capsules,generic,53.0914175238095,2219.40583,10992.69209
7,0101010I0AAACAC,Magnesium oxide 160mg capsules,generic,-31.180187795625,-4338.16872,14462.69509
8,0101010I0AAAHAH,Magnesium oxide 400mg capsules,generic,50.75186,50.75186,367.30905
9,0101010I0AAAYAY,Magnesium oxide 500mg capsules,generic,-7.49468027777777,298.10454,4330.08785
15,0101010J0AAAAAA,Boots Magnesium trisilicate mixture,generic,0.333726298400214,92.4701900000001,674.26774
17,0101010N0AAABAB,Antacid and Oxetacaine oral suspension,generic,-5.01304120122888,-1402.09406,9427.92358
25,0101010U0AAAAAA,Sodium citrate 441.17mg/5ml oral solution,generic,18.15232,-308.82228,417.7362
28,0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,generic,-27.3846296666667,-1192.23489,1562.93089
29,0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral suspension,generic,-27.3846296666667,-1192.23489,1562.93089
30,0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,generic,-27.3846296666667,-1192.23489,1562.93089
31,0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,generic,-27.3846296666667,-1192.23489,1562.93089
32,0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral suspension,generic,-27.3846296666667,-1192.23489,1562.93089
33,0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,generic,-27.3846296666667,-1192.23489,1562.93089
34,0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,generic,-27.3846296666667,-1192.23489,1562.93089
35,0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral suspension,generic,-27.3846296666667,-1192.23489,1562.93089
36,0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,generic,-27.3846296666667,-1192.23489,1562.93089
50,0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free peppermint,generic,0.0466539530114645,-115.059439999961,20622.70827
51,0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free aniseed,generic,0.0466539530114645,-115.059439999961,20622.70827
52,0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free peppermint,generic,0.0466539530114645,-115.059439999961,20622.70827
53,0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free aniseed,generic,0.0466539530114645,-115.059439999961,20622.70827
78,0101021C0AAATAT,Calcium carbonate 300mg tablets,generic,163.464767094017,140.50339,4465.21181
90,0102000ACAAARAR,Atropine 600micrograms/5ml oral solution,generic,0.283300000000054,0.283300000000054,659.55912
91,0102000ACAAAZAZ,Atropine 250micrograms/5ml oral solution,generic,0.0349599999999981,81.44297,162.81602
92,0102000ACAAAZAZ,Atropine 250micrograms/5ml oral suspension,generic,0.0349599999999981,81.44297,162.81602
93,0102000ACAAAZAZ,Atropine 250micrograms/5ml oral solution,generic,0.0349599999999981,81.44297,162.81602
94,0102000ACAAAZAZ,Atropine 250micrograms/5ml oral suspension,generic,0.0349599999999981,81.44297,162.81602
98,0102000H0AAAMAM,Belladonna medicated plaster 9.5cm x 12.5cm,generic,-2.22450360754717,-94.18918,300.96934
99,0102000H0AAANAN,Belladonna medicated plaster 28cm x 17.5cm,generic,0.843164732026143,-25.1183700000001,1717.05433
102,0102000L0AAAFAF,Glycopyrronium bromide 750micrograms/5ml oral suspension,generic,0.247189999999932,-575.01442,575.5088
103,0102000L0AAAFAF,Glycopyrronium bromide 750micrograms/5ml oral solution,generic,0.247189999999932,-575.01442,575.5088
104,0102000L0AAAFAF,Glycopyrronium bromide 750micrograms/5ml oral suspension,generic,0.247189999999932,-575.01442,575.5088
105,0102000L0AAAFAF,Glycopyrronium bromide 750micrograms/5ml oral solution,generic,0.247189999999932,-575.01442,575.5088
106,0102000L0AAAHAH,Glycopyrronium bromide 3mg/5ml oral suspension,generic,-252.8128,-36.91499,431.79562
107,0102000L0AAAHAH,Glycopyrronium bromide 3mg/5ml oral solution,generic,-252.8128,-36.91499,431.79562
108,0102000L0AAAHAH,Glycopyrronium bromide 3mg/5ml oral suspension,generic,-252.8128,-36.91499,431.79562
109,0102000L0AAAHAH,Glycopyrronium bromide 3mg/5ml oral solution,generic,-252.8128,-36.91499,431.79562
110,0102000L0AAAIAI,Glycopyrronium bromide 2mg/5ml oral solution,generic,161.278417638889,797.14699,5234.87015
111,0102000L0AAAIAI,Glycopyrronium bromide 2mg/5ml oral suspension,generic,161.278417638889,797.14699,5234.87015
112,0102000L0AAAIAI,Glycopyrronium bromide 2mg/5ml oral solution,generic,161.278417638889,797.14699,5234.87015
113,0102000L0AAAIAI,Glycopyrronium bromide 2mg/5ml oral suspension,generic,161.278417638889,797.14699,5234.87015
114,0102000L0AAARAR,Glycopyrronium bromide 800micrograms/5ml oral solution,generic,51.28672,51.28672,510.88612
115,0102000L0AAARAR,Glycopyrronium bromide 800micrograms/5ml oral suspension,generic,51.28672,51.28672,510.88612
116,0102000L0AAARAR,Glycopyrronium bromide 800micrograms/5ml oral solution,generic,51.28672,51.28672,510.88612
117,0102000L0AAARAR,Glycopyrronium bromide 800micrograms/5ml oral suspension,generic,51.28672,51.28672,510.88612
118,0102000L0AAAVAV,Glycopyrronium bromide 4mg/5ml oral solution,generic,63.1310366666667,-815.43083,238.84341
130,0102000N0AAAPAP,Hyoscine butylbromide 10mg/5ml oral solution,generic,2.49997345433255,592.188619999999,5516.7193
131,0102000N0AAAQAQ,Hyoscine butylbromide 10mg/5ml oral suspension,generic,-0.745805444646095,656.0933,1943.76445
136,0102000P0AAAEAE,Mebeverine 135mg oral powder sachets,generic,0.49359000000004,-1148.16158,1149.14876
168,0103020P0AAAAAA,Pirenzepine 50mg tablets,generic,25.2734704014008,1773.78913,14125.07912
169,0103030S0AAAAAA,Sucralfate 1g tablets,generic,16.6629310504798,16433.13502,145369.75495
170,0103030S0AAABAB,Sucralfate 1g/5ml oral suspension sugar free,generic,-33.7376827250986,12980.19525,70006.89905
173,0103050E0AAACAC,Esomeprazole 40mg powder for solution for injection vials,generic,-11.156158,52.72772,711.9203
182,0103050L0AAAIAI,Lansoprazole 10mg/5ml oral solution,generic,-259.549998333333,-344.39867,524.10398
183,0103050L0AAAIAI,Lansoprazole 10mg/5ml oral suspension,generic,-259.549998333333,-344.39867,524.10398
184,0103050L0AAAIAI,Lansoprazole 10mg/5ml oral solution,generic,-259.549998333333,-344.39867,524.10398
185,0103050L0AAAIAI,Lansoprazole 10mg/5ml oral suspension,generic,-259.549998333333,-344.39867,524.10398
186,0103050L0AAAJAJ,Lansoprazole 30mg/5ml oral solution,generic,-35.005628,-1076.15584,877.43432
187,0103050L0AAAMAM,Lansoprazole 15mg/5ml oral solution,generic,5.95266933588761,340.64743,2608.91769
188,0103050L0AAAXAX,Lansoprazole 15mg/5ml oral suspension,generic,-0.15976118262779,57.3517800000009,10333.02533
189,0103050L0AAAYAY,Lansoprazole 30mg/5ml oral suspension,generic,0.215585348811601,242.187300000003,8644.20758
190,0103050L0AAAZAZ,Lansoprazole 5mg/5ml oral suspension,generic,-0.0529743378226541,148.727450000002,8652.0111
193,0103050P0AAAJAJ,Omeprazole 10mg/5ml oral solution,generic,-30.9349594335512,-1614.34339,2169.85411
194,0103050P0AAAKAK,Omeprazole 40mg/5ml oral solution,generic,26.3149131578947,685.36445,1674.06365
195,0103050P0AAAQAQ,Omeprazole 20mg/5ml oral solution,generic,-175.328566081871,-3459.73679,2312.89262
216,0103050R0AAACAC,Pantoprazole 40mg powder for solution for injection vials,generic,-12.9774831428571,-852.79581,1450.67166
221,0104020H0AAAAAA,Co-phenotrope 2.5mg/0.025mg tablets,generic,-31.5295580679785,431.864,10328.55776
224,0104020L0AAAPAP,Loperamide 25mg/5ml oral suspension,generic,-1.31512840816328,1159.72774,4220.15032
225,0104020L0AAAQAQ,Loperamide 25mg/5ml oral solution,generic,0.610281052631564,11.5953399999999,1693.95859
280,0105020C0AAACAC,Hydrocortisone 100mg suppositories,generic,295.158255,-661.93893,1252.25544
285,0106010E0AAAHAH,Ispaghula husk 3.5g effervescent granules sachets gluten free sugar free,generic,0.0788036674662589,122.161200000004,10806.72738
286,0106010E0AAAJAJ,Ispaghula husk 3.4g oral powder sachets gluten free sugar free,generic,-2.03399,-20.99044,16.92246
287,0106010E0AAATAT,Ispaghula husk 3.5g granules sachets gluten free,generic,0.265064346397636,-79.2693399999944,7196.09799000001
288,0106010E0AAAUAU,Ispaghula husk 3.5g granules sachets gluten free sugar free,generic,-0.392788345622118,-69.8331699999999,328.11939
303,0106020B0AAACAC,Co-danthramer 25mg/200mg capsules,generic,-52.7937610714286,-160.30857,118.68844
304,0106020C0AAAFAF,Bisacodyl 2.74mg/ml rectal solution,generic,-0.0366402212262003,425.02500999997,12143.22684
305,0106020C0AAAJAJ,Bisacodyl 10mg/30ml enema,generic,-914.50402,-1879.3114,50.30336
306,0106020C0AAAUAU,Bisacodyl 7.5mg suppositories,generic,23.778848,118.89424,1951.64455
307,0106020C0AAAVAV,Bisacodyl 2.5mg/5ml oral suspension,generic,4.53283618876944,1001.27367,6811.37497
312,0106020F0AAAAAA,Castor oil liquid,generic,-3.97030875,34.13593,100.03433
318,0106020J0AAAAAA,Co-danthrusate 50mg/60mg capsules,generic,11.069875,221.3975,1044.96837
319,0106020M0AAAEAE,Senna 7.5mg/5ml oral solution,generic,-0.7527525,-21.61341,11.87091
327,0106030P0AAABAB,Liquid paraffin liquid,generic,-0.513314254107541,-47.4265099999998,566.26525
329,0106040L0AAABAB,Epsom Salts,generic,2.60081051282051,35.4991,276.4139
330,0106040L0AAAEAE,Magnesium sulfate mixture,generic,-259.12815,-259.12815,153.54927
331,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free citrus,generic,0.00393662430582786,15651.3899900062,645254.454210002
332,0106040M0AAAAAA,Macrogol compound half-strength oral powder sachets NPF sugar free,generic,0.00393662430582786,15651.3899900062,645254.454210002
333,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free plain,generic,0.00393662430582786,15651.3899900062,645254.454210002
334,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free,generic,0.00393662430582786,15651.3899900062,645254.454210002
335,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free citrus,generic,0.00393662430582786,15651.3899900062,645254.454210002
336,0106040M0AAAAAA,Macrogol compound half-strength oral powder sachets NPF sugar free,generic,0.00393662430582786,15651.3899900062,645254.454210002
337,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free plain,generic,0.00393662430582786,15651.3899900062,645254.454210002
338,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free,generic,0.00393662430582786,15651.3899900062,645254.454210002
339,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free citrus,generic,0.00393662430582786,15651.3899900062,645254.454210002
340,0106040M0AAAAAA,Macrogol compound half-strength oral powder sachets NPF sugar free,generic,0.00393662430582786,15651.3899900062,645254.454210002
341,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free plain,generic,0.00393662430582786,15651.3899900062,645254.454210002
342,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free,generic,0.00393662430582786,15651.3899900062,645254.454210002
343,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free citrus,generic,0.00393662430582786,15651.3899900062,645254.454210002
344,0106040M0AAAAAA,Macrogol compound half-strength oral powder sachets NPF sugar free,generic,0.00393662430582786,15651.3899900062,645254.454210002
345,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free plain,generic,0.00393662430582786,15651.3899900062,645254.454210002
346,0106040M0AAAAAA,Macrogol compound oral powder sachets sugar free,generic,0.00393662430582786,15651.3899900062,645254.454210002
347,0106040M0AAABAB,Macrogol compound half-strength oral powder sachets sugar free,generic,0.029602186430246,-32.3422900000151,10731.56199
375,0106040R0AAAFAF,Sodium citrate compound 5ml enema,generic,0.504404389688356,171.70633,1625.19536
378,0106040X0AAAAAA,Macrogol 4000 10g oral powder sachets sugar free,generic,-2.76690691756273,74.26825,295.86537
395,0107010AAAAADAD,Diltiazem 0.2% cream,generic,26.08652,-215.27457,587.06826
396,0107010AAAAAJAJ,Diltiazem 2% cream,generic,0.0310793594790724,-3352.84310999978,46209.6311500001
397,0107010AAAAAKAK,Diltiazem 2% ointment,generic,-0.0915017508830509,-418.039969999933,15018.56636
403,0107010S0AAAKAK,Sucralfate 2g/20ml enema,generic,65.608726439394,-2821.27376,5117.59889
404,0107010S0AAALAL,Sucralfate 2g/50ml enema,generic,-82.7007979999998,754.367410000001,4444.24332
427,0107040A0AAAWAW,Glyceryl trinitrate 0.2% ointment,generic,0.607935577651512,34.5650999999999,498.66833
452,0202010B0AAAQAQ,Bendroflumethiazide 5mg/5ml oral suspension,generic,-11.23464,358.96118,740.39164
453,0202010B0AAAXAX,Bendroflumethiazide 2.5mg/5ml oral suspension,generic,0.31590604975397,-51.5920099999998,1399.83764
456,0202010D0AAAFAF,Chlorothiazide 500mg tablets,generic,-64.961775,-528.69926,398.77571
457,0202010D0AAAUAU,Chlorothiazide 250mg/5ml oral suspension,generic,-0.0590662594164968,98.0348600000034,7950.46121
467,0202010L0AAABAB,Hydrochlorothiazide 25mg tablets,generic,7.75360360922907,1120.98839,8790.10719
468,0202010L0AAACAC,Hydrochlorothiazide 50mg tablets,generic,-54.318416,1.02661999999992,409.95467
469,0202010L0AAAYAY,Hydrochlorothiazide 12.5mg tablets,generic,28.00312,84.00936,226.31867
470,0202010P0AAABAB,Indapamide 2.5mg/5ml oral suspension,generic,73.2086397142857,1403.34589,3630.55942
471,0202010P0AAAFAF,Indapamide 1.5mg modified-release tablets,generic,0.118419595145851,99.8759000000002,1084.54282
479,0202010V0AAAAAA,Metolazone 5mg tablets,generic,-1.18886419839015,972.446600000001,11504.6119
480,0202010V0AAAKAK,Metolazone 2.5mg/5ml oral solution,generic,0.0738299999999867,0.0738299999999867,171.90946
481,0202010V0AAAKAK,Metolazone 2.5mg/5ml oral suspension,generic,0.0738299999999867,0.0738299999999867,171.90946
482,0202010V0AAAKAK,Metolazone 2.5mg/5ml oral solution,generic,0.0738299999999867,0.0738299999999867,171.90946
483,0202010V0AAAKAK,Metolazone 2.5mg/5ml oral suspension,generic,0.0738299999999867,0.0738299999999867,171.90946
484,0202010V0AAANAN,Metolazone 2.5mg tablets,generic,7.06397522244251,12670.33467,56337.18772
488,0202020L0AAABAB,Furosemide 50mg/5ml solution for injection ampoules,generic,-4.31810333333333,-79.11162,54.58876
489,0202020L0AAATAT,Furosemide 5mg/5ml oral solution sugar free,generic,21.4752420833334,1037.21582,1556.46415
518,0202040B0AAAHAH,Co-amilofruse 5mg/40mg/5ml oral suspension,generic,-134.08721,-444.54862,176.3742
519,0202040B0AAAHAH,Co-amilofruse 5mg/40mg/5ml oral solution,generic,-134.08721,-444.54862,176.3742
520,0202040B0AAAHAH,Co-amilofruse 5mg/40mg/5ml oral suspension,generic,-134.08721,-444.54862,176.3742
521,0202040B0AAAHAH,Co-amilofruse 5mg/40mg/5ml oral solution,generic,-134.08721,-444.54862,176.3742
532,0203020D0AAAVAV,Amiodarone 200mg/5ml oral solution,generic,-26.428115,342.83484,738.52591
533,0203020D0AAAVAV,Amiodarone 200mg/5ml oral suspension,generic,-26.428115,342.83484,738.52591
534,0203020D0AAAVAV,Amiodarone 200mg/5ml oral solution,generic,-26.428115,342.83484,738.52591
535,0203020D0AAAVAV,Amiodarone 200mg/5ml oral suspension,generic,-26.428115,342.83484,738.52591
536,0203020D0AAAYAY,Amiodarone 50mg/5ml oral solution,generic,2.48212714285714,-727.23091,558.45435
541,0203020F0AAAPAP,Disopyramide 25mg capsules,generic,0.137620000000027,0.137620000000027,320.41538
542,0203020F0AAARAR,Disopyramide 50mg/5ml oral solution,generic,46.64546,-196.58602,289.87694
543,0203020F0AAARAR,Disopyramide 50mg/5ml oral suspension,generic,46.64546,-196.58602,289.87694
544,0203020F0AAARAR,Disopyramide 50mg/5ml oral solution,generic,46.64546,-196.58602,289.87694
545,0203020F0AAARAR,Disopyramide 50mg/5ml oral suspension,generic,46.64546,-196.58602,289.87694
548,0203020I0AAAZAZ,Flecainide 100mg/5ml oral solution,generic,73.262555,146.52511,699.54996
549,0203020I0AAAZAZ,Flecainide 100mg/5ml oral suspension,generic,73.262555,146.52511,699.54996
550,0203020I0AAAZAZ,Flecainide 100mg/5ml oral solution,generic,73.262555,146.52511,699.54996
551,0203020I0AAAZAZ,Flecainide 100mg/5ml oral suspension,generic,73.262555,146.52511,699.54996
558,0203020L0AAABAB,Lidocaine 100mg/10ml (1%) solution for injection pre-filled syringes,generic,0.434366388888889,-12.1352,1.63367
559,0203020P0AAAAAA,Mexiletine 50mg capsules,generic,116.604345897436,2933.76012,19365.71244
560,0203020P0AAABAB,Mexiletine 200mg capsules,generic,24.2076758735898,5.59706999998889,51038.61005
561,0203020P0AAAGAG,Mexiletine 200mg tablets,generic,58.4678722222222,526.21085,4550.89578
562,0203020P0AAAIAI,Mexiletine 100mg capsules,generic,23.5509475884039,-3571.22728,31427.1108
563,0203020P0AAAKAK,Mexiletine 50mg/5ml oral solution,generic,-436.15972,-436.15972,280.33484
566,0203020U0AAAGAG,Quinidine sulfate 200mg tablets,generic,26.2647606944445,-89.0875899999996,2603.76349
572,020400080AAAPAP,Carvedilol 5mg/5ml oral suspension,generic,0.0792890778483297,-709.232429999999,5805.39909
597,0204000I0AAAIAI,Labetalol 50mg/5ml oral suspension,generic,-56.2710525000001,223.06588,1567.51615
598,0204000I0AAAIAI,Labetalol 50mg/5ml oral solution,generic,-56.2710525000001,223.06588,1567.51615
599,0204000I0AAAIAI,Labetalol 50mg/5ml oral suspension,generic,-56.2710525000001,223.06588,1567.51615
600,0204000I0AAAIAI,Labetalol 50mg/5ml oral solution,generic,-56.2710525000001,223.06588,1567.51615
605,0204000K0AAAMAM,Metoprolol 10mg/5ml oral solution,generic,0.0933700000000215,0.0933700000000215,217.37056
606,0204000K0AAAMAM,Metoprolol 10mg/5ml oral suspension,generic,0.0933700000000215,0.0933700000000215,217.37056
607,0204000K0AAAMAM,Metoprolol 10mg/5ml oral solution,generic,0.0933700000000215,0.0933700000000215,217.37056
608,0204000K0AAAMAM,Metoprolol 10mg/5ml oral suspension,generic,0.0933700000000215,0.0933700000000215,217.37056
609,0204000K0AAATAT,Metoprolol 50mg/5ml oral suspension,generic,72.04724,216.14172,985.47268
615,0204000M0AAAAAA,Nadolol 40mg tablets,generic,17.7451425757576,72.5578399999999,3886.5814
616,0204000M0AAAFAF,Nadolol 30mg/5ml oral solution,generic,-84.6018,-334.92183,165.71823
617,0204000M0AAAGAG,Nadolol 20mg/5ml oral solution,generic,65.2133142857143,-268.43973,966.57724
618,0204000M0AAAHAH,Nadolol 20mg/5ml oral suspension,generic,3.36476871794872,317.88872,2056.10045
619,0204000M0AAAIAI,Nadolol 30mg/5ml oral suspension,generic,0.672287499999953,-829.61825,668.53507
620,0204000M0AAAJAJ,Nadolol 40mg/5ml oral suspension,generic,1.41702490909094,131.9763,1295.86656
639,0204000T0AAAMAM,Sotalol 40mg/5ml oral solution,generic,324.293025,9.21571000000006,639.37034
640,0204000T0AAAMAM,Sotalol 40mg/5ml oral suspension,generic,324.293025,9.21571000000006,639.37034
641,0204000T0AAAMAM,Sotalol 40mg/5ml oral solution,generic,324.293025,9.21571000000006,639.37034
642,0204000T0AAAMAM,Sotalol 40mg/5ml oral suspension,generic,324.293025,9.21571000000006,639.37034
643,0204000T0AAATAT,Sotalol 25mg/5ml oral solution,generic,-0.89815999999999,-70.85901,69.06269
648,0204000V0AAABAB,Timolol 10mg tablets,generic,-0.067619999999998,-0.135239999999996,73.98536
649,0205010J0AAA3A3,Hydralazine 10mg/5ml oral solution,generic,-56.294229047619,-2905.98391,1883.94323
650,0205010J0AAA3A3,Hydralazine 10mg/5ml oral suspension,generic,-56.294229047619,-2905.98391,1883.94323
651,0205010J0AAA3A3,Hydralazine 10mg/5ml oral solution,generic,-56.294229047619,-2905.98391,1883.94323
652,0205010J0AAA3A3,Hydralazine 10mg/5ml oral suspension,generic,-56.294229047619,-2905.98391,1883.94323
653,0205010J0AAA8A8,Hydralazine 25mg/5ml oral solution,generic,109.278435,-200.56169,1056.79399
654,0205010J0AAA8A8,Hydralazine 25mg/5ml oral suspension,generic,109.278435,-200.56169,1056.79399
655,0205010J0AAA8A8,Hydralazine 25mg/5ml oral solution,generic,109.278435,-200.56169,1056.79399
656,0205010J0AAA8A8,Hydralazine 25mg/5ml oral suspension,generic,109.278435,-200.56169,1056.79399
661,0205010U0AAAAAA,Bosentan 62.5mg tablets,generic,701.09999,701.09999,1401.81953
662,0205010U0AAABAB,Bosentan 125mg tablets,generic,-933.534546666667,-5604.2427,1401.81953
666,0205020E0AAAFAF,Clonidine 100micrograms/24hours transdermal patches,generic,-32.4515369090909,1522.54199,7048.15836
667,0205020E0AAAGAG,Clonidine 200micrograms/24hours transdermal patches,generic,118.380564666667,1313.56229,2396.05149
668,0205020E0AAAHAH,Clonidine 300micrograms/24hours transdermal patches,generic,-242.959485714286,-4141.8436,2571.2562
670,0205020G0AAACAC,Guanfacine 1mg tablets,generic,-157.89286,-157.89286,51.99272
671,0205020H0AAAIAI,Methyldopa 250mg/5ml oral suspension,generic,47.14245,47.14245,215.66575
677,0205040D0AAAXAX,Doxazosin 4mg/5ml oral solution,generic,-3.08908276223778,-406.44437,1793.7052
678,0205040D0AAAZAZ,Doxazosin 1mg/5ml oral solution,generic,2.36142298245618,-420.901469999999,1746.6319
692,0205040S0AAADAD,Prazosin 2mg tablets,generic,-39.7559750833333,2208.51505,3040.79359
693,0205040S0AAAEAE,Prazosin 5mg tablets,generic,-75.1050633333334,438.58431,770.53406
700,0205051ABAAAAAA,Perindopril tosilate 5mg / Indapamide 1.25mg tablets,generic,-2.548086,-28.65017,23.86461
729,0205051G0AAAAAA,Co-zidocapt 25mg/50mg tablets,generic,-0.0394938591859191,-660.23275,1314.24513
732,0205051I0AAAJAJ,Enalapril 2.5mg/5ml oral suspension,generic,0.136180000000024,0.136180000000024,317.05522
733,0205051I0AAAJAJ,Enalapril 2.5mg/5ml oral solution,generic,0.136180000000024,0.136180000000024,317.05522
734,0205051I0AAAJAJ,Enalapril 2.5mg/5ml oral suspension,generic,0.136180000000024,0.136180000000024,317.05522
735,0205051I0AAAJAJ,Enalapril 2.5mg/5ml oral solution,generic,0.136180000000024,0.136180000000024,317.05522
747,0205051L0AAAGAG,Lisinopril 5mg/5ml oral suspension,generic,40.6190925454545,586.09489,1978.94361
748,0205051L0AAAGAG,Lisinopril 5mg/5ml oral solution,generic,40.6190925454545,586.09489,1978.94361
749,0205051L0AAAGAG,Lisinopril 5mg/5ml oral suspension,generic,40.6190925454545,586.09489,1978.94361
750,0205051L0AAAGAG,Lisinopril 5mg/5ml oral solution,generic,40.6190925454545,586.09489,1978.94361
751,0205051L0AAAIAI,Lisinopril 2.5mg/5ml oral solution,generic,57.0803717307691,371.172709999999,4450.46547
752,0205051L0AAAIAI,Lisinopril 2.5mg/5ml oral suspension,generic,57.0803717307691,371.172709999999,4450.46547
753,0205051L0AAAIAI,Lisinopril 2.5mg/5ml oral solution,generic,57.0803717307691,371.172709999999,4450.46547
754,0205051L0AAAIAI,Lisinopril 2.5mg/5ml oral suspension,generic,57.0803717307691,371.172709999999,4450.46547
